brand,name,slug,category,price,stock,image_url,source
"Sospiro Perfumes","Sospiro Erba Pura Magica",sospiro-perfumes-sospiro-erba-pura-magica,decants,80000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Sospiro_Erba_Pura_Magica.jpg?v=1773440159",disfragancias
"Rayhaan","Rayhaan Wood Noir",rayhaan-rayhaan-wood-noir,decants,25000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Rayhaan_Wood_Noir.jpg?v=1773439801",disfragancias
"Rayhaan","Rayhaan Imperia",rayhaan-rayhaan-imperia,decants,25000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Imperia_Rayhaan_para_Hombres.jpg?v=1773439054",disfragancias
"Rayhaan","Rayhaan Dark Leather",rayhaan-rayhaan-dark-leather,decants,25000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Rayhaan_Dark_Leather.jpg?v=1773438553",disfragancias
"lattafa","Lattafa Suqraat",lattafa-lattafa-suqraat,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/lattafa-suqraat.png?v=1704382288",disfragancias
"Rayhaan","Rayhaan Pacific Men",rayhaan-rayhaan-pacific-men,decants,25000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Rayhaan_Pacific_Men.jpg?v=1773289220",disfragancias
"French Avenue","French Avenue Glorious Oud Royal Blanc",french-avenue-french-avenue-glorious-oud-royal-blanc,decants,27000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/French_Avenue_Glorious_Oud_Royal_Blanc.jpg?v=1773288915",disfragancias
"French Avenue","French Avenue Rose Explosion",french-avenue-french-avenue-rose-explosion,decants,27000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/French_Avenue_Rose_Explosion.jpg?v=1773288474",disfragancias
"Paco Rabanne","Paco Rabanne Fame In love",paco-rabanne-paco-rabanne-fame-in-love,decants,45000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Paco_Rabanne_Fame_In_love.jpg?v=1773287865",disfragancias
"Burberry","Burberry Brit Sheer",burberry-burberry-brit-sheer,decants,43000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_14e97821-be1a-43a3-8673-c5cc614fd14e.jpg?v=1773200453",disfragancias
"Edén","Edén Ojos Cerrados",eden-eden-ojos-cerrados,decants,40000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_8e4a471d-97d8-466b-9516-c02f91b55bc1.jpg?v=1773199236",disfragancias
"Emmir","Emmir Milano Kingdelary",emmir-emmir-milano-kingdelary,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_43c1cc11-aa48-4be5-840f-f45a0d3682f3.jpg?v=1773198927",disfragancias
"Carolina Herrera","Carolina herrera 212 vip rose set de regalo",carolina-herrera-carolina-herrera-212-vip-rose-set-de-regalo,,530000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/212viprose.jpg?v=1773196751",disfragancias
"Carolina Herrera","Dolce & gabbana light Blue 2025 set de regalo",carolina-herrera-dolce-gabbana-light-blue-2025-set-de-regalo,decants,495000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dolce_gabbana_light_Blue_2025_set_de_regalo.jpg?v=1773196537",disfragancias
"Carolina Herrera","Carolina herrera 212 vip black set de regalo",carolina-herrera-carolina-herrera-212-vip-black-set-de-regalo-1,,490000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/212vipblack_SET_DE_REGALO.jpg?v=1773196353",disfragancias
"Benetton","Benetton United dreams love yourself set de regalo",benetton-benetton-united-dreams-love-yourself-set-de-regalo,,150000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/uniteddreamsloveyourself.jpg?v=1773196133",disfragancias
"Armaf","Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,decants,27000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",disfragancias
"Maiora Parfum","Maiora Parfum Phraenesya Pastiera",maiora-parfum-maiora-parfum-phraenesya-pastiera,decants,110000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Maiora_Parfum_Phraenesya_Pastiera.jpg?v=1773195262",disfragancias
"Maiora Parfum","Maiora Parfum Tropical Sky",maiora-parfum-maiora-parfum-tropical-sky,decants,110000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Maiora_Parfum_Tropical_Sky.jpg?v=1773194848",disfragancias
"Maiora Parfum","Maiora Parfum Joykush",maiora-parfum-maiora-parfum-joykush,decants,104500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Maiora_Parfum_Joykush.jpg?v=1772851982",disfragancias
"Maiora Parfum","Maiora Parfum ask",maiora-parfum-maiora-parfum-ask,decants,104500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Maiora_Parfum_ask.jpg?v=1772851658",disfragancias
"Maiora Parfum","Maiora Parfum Ali Baba",maiora-parfum-maiora-parfum-ali-baba,decants,104500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Maiora_Parfum_Ali_Baba.jpg?v=1772830480",disfragancias
"Bharara","Bharara Mast Perfume Rome Ivory Femenino",bharara-bharara-mast-perfume-rome-ivory-femenino,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Bharara_Mast_Perfume_Rome_Ivory_Femenino.jpg?v=1772829963",disfragancias
"Riiffs","Riiffs Freeze",riiffs-riiffs-freeze,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_7f1568bc-958d-4af0-bdf4-e9f290632034.jpg?v=1772828772",disfragancias
"Bharara","Bharara Mast Perfume Rome pour homme set de regalo",bharara-bharara-mast-perfume-rome-pour-homme-set-de-regalo,decants,266000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Bharara_Mast_Perfume_Rome_pour_homme_set_de_regalo.jpg?v=1772828177",disfragancias
"French Avenue","French Avenue Vulcan Sable",french-avenue-french-avenue-vulcan-sable,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/French_Avenue_Vulcan_Sable.jpg?v=1772827728",disfragancias
"French Avenue","French Avenue Vulcan Baie",french-avenue-french-avenue-vulcan-baie,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/French_Avenue_Vulcan_Baie.jpg?v=1772827189",disfragancias
"Fragance World","Fragance World Imperium Intense",fragance-world-fragance-world-imperium-intense,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Fragance_World_Imperium_Intense.jpg?v=1772826710",disfragancias
"Fragance One","Fragance One Black Tie for Men",fragance-one-fragance-one-black-tie-for-men,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Fragance_One_Black_Tie_for_Men.jpg?v=1772825712",disfragancias
"Al Wataniah","Al Wataniah Duha",al-wataniah-al-wataniah-duha,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_75b0ba1b-c6ee-4fe2-9154-0390ae6dc807.jpg?v=1772795188",disfragancias
"French Avenue","French Avenue X Aromatix Naughty Dates",french-avenue-french-avenue-x-aromatix-naughty-dates,decants,25650,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_642f50c6-aad1-44f9-8a4b-c1acfda7dbc6.jpg?v=1772794997",disfragancias
"Rayhaan","Rayhaan Aquatica",rayhaan-rayhaan-aquatica,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_72878dec-5fc2-4a08-9c93-c2129898c723.jpg?v=1772794521",disfragancias
