slug,brand,name,volume,gender,price,has_image,page
arsenal-arsenal-100ml,Arsenal,Arsenal,100ml,masculine,150000,True,1
arabiyat-uhud-100ml,Arabiyat,Uhud,100ml,feminine,360000,True,1
arabiyat-marwa-100ml,Arabiyat,Marwa,100ml,feminine,360000,True,1
arabiyat-safa-100ml,Arabiyat,Safa,100ml,feminine,360000,True,1
agata-ruiz-de-la-prada-gotas-de-100ml,Agata Ruiz De La Prada,Gotas De,100ml,unisex,150000,True,1
color-albane-noble-grand-palais-color-albane-noble-grand-palais-100ml,Color Albane Noble Grand Palais,Color Albane Noble Grand Palais,100ml,masculine,240000,True,1
al-jazeera-onix-100ml,Al-Jazeera,Onix,100ml,masculine,1200000,True,1
afnan-9pm-100ml,Afnan,9Pm,100ml,masculine,260000,True,1
afnan-9am-dive-100ml,Afnan,9Am Dive,100ml,unisex,260000,True,1
afnan-9am-dive-set,Afnan,9Am Dive,set,unisex,300000,True,1
afnan-9am-100ml,Afnan,9Am,100ml,feminine,260000,True,1
afnan-9-pm-pour-femme-100ml,Afnan,9 Pm Pour Femme,100ml,feminine,260000,True,1
afnan-9-pm-rebel-100ml,Afnan,9 Pm Rebel,100ml,feminine,280000,True,2
afnan-kiana-crush-100ml,Afnan,Kiana Crush,100ml,feminine,350000,True,2
afnan-kiana-angel-100ml,Afnan,Kiana Angel,100ml,feminine,350000,True,2
ahli-vega-60ml,Ahli,Vega,60ml,unisex,450000,True,2
ahli-karpos-60ml,Ahli,Karpos,60ml,unisex,450000,True,2
ahli-corvus-60ml,Ahli,Corvus,60ml,feminine,450000,True,2
ahli-canes-60ml,Ahli,Canes,60ml,unisex,450000,True,2
animale-animale-200ml,Animale,Animale,200ml,feminine,310000,True,2
armaf-club-de-nuit-precieux-55ml,Armaf,Club De Nuit Precieux,55ml,masculine,350000,True,2
extracto-de-perfume-armaf-eter-100ml,Extracto De Perfume Armaf,Eter,100ml,unisex,350000,True,2
armaf-queen-of-arabian-100ml,Armaf,Queen  Of Arabian,100ml,feminine,370000,True,2
armaf-checkmate-king-100ml,Armaf,Checkmate King,100ml,masculine,340000,True,2
armaf-yum-yum-100ml,Armaf,Yum Yum,100ml,feminine,330000,True,3
armaf-island-blish-100ml,Armaf,Island Blish,100ml,feminine,340000,True,3
armaf-odyssey-mandarin-sky-100ml,Armaf,Odyssey Mandarin Sky,100ml,masculine,260000,True,3
armaf-set-mandarin-sky-set,Armaf,Set Mandarin Sky,set,masculine,380000,True,3
armaf-mandarin-sky-elixir-100ml,Armaf,Mandarin Sky Elixir,100ml,masculine,310000,True,3
armaf-artisto-100ml,Armaf,Artisto,100ml,masculine,310000,True,3
armaf-odyssey-aoud-100ml,Armaf,Odyssey Aoud,100ml,masculine,270000,True,3
armaf-odyssey-acquua-100ml,Armaf,Odyssey Acquua,100ml,masculine,260000,True,3
