brand,name,slug,cost_cop,sale_price_cop,gross_margin_cop,gross_margin_pct,pricing_tier
"AFNAN","9AM Dive",afnan-9am-dive,260000,429000,169000,0.3939,core
"AL HARAMAIN","Ahp1013 Amber Oud Gold Edition 100ml 1",al-haramain-ahp1013-amber-oud-gold-edition-100ml-1,340000,595000,255000,0.4286,premium
"AL HARAMAIN","Ahp1015 Amber Oud Blue Edition 100ml",al-haramain-ahp1015-amber-oud-blue-edition-100ml,340000,595000,255000,0.4286,premium
"Armaf","200ml",armaf-200ml,340000,595000,255000,0.4286,premium
"Armaf","2 Ezgif.com Webp To Jpg Converter",armaf-2-ezgifcom-webp-to-jpg-converter,340000,595000,255000,0.4286,premium
"Armaf","35721 11",armaf-35721-11,340000,595000,255000,0.4286,premium
"Armaf","35721 13",armaf-35721-13,340000,595000,255000,0.4286,premium
"Armaf","35721 3",armaf-35721-3,340000,595000,255000,0.4286,premium
"Armaf","514mtbtpnol",armaf-514mtbtpnol,340000,595000,255000,0.4286,premium
"Armaf","61edpq JR1L. UF1000 1000 QL80",armaf-61edpq-jr1l-uf1000-1000-ql80,340000,595000,255000,0.4286,premium
"Armaf","65",armaf-65,340000,595000,255000,0.4286,premium
"Armaf","68",armaf-68,340000,595000,255000,0.4286,premium
"Armaf","DUBAI CHOCOLATE",armaf-dubai-chocolate,270000,446000,176000,0.3946,core
"Armaf","GS Odysseylimoni Photogrid.pngdisplayinggs Odysseylimoni Photogrid.png.",armaf-gs-odysseylimoni-photogridpngdisplayinggs-odysseylimoni-photogridpng,340000,595000,255000,0.4286,premium
"Armaf","ODYSSEYMANDARINSKYVINTAGEEDITION2",armaf-odysseymandarinskyvintageedition2,340000,595000,255000,0.4286,premium
"Armaf","Q 106DCLUBDENUITINTENSE M FIF",armaf-q-106dclubdenuitintense-m-fif,340000,595000,255000,0.4286,premium
"Armaf","Untitleddesign 2025 10 24T235342.652",armaf-untitleddesign-2025-10-24t235342652,340000,595000,255000,0.4286,premium
"Armaf","Untitleddesign",armaf-untitleddesign,340000,595000,255000,0.4286,premium
"Armaf","Armafbeach",armaf-armafbeach,340000,595000,255000,0.4286,premium
"Armaf","Armafislandbliss",armaf-armafislandbliss,340000,595000,255000,0.4286,premium
"Armaf","Edit 15",armaf-edit-15,340000,595000,255000,0.4286,premium
"Armaf","Image 2023 05 04T091929.691",armaf-image-2023-05-04t091929691,340000,595000,255000,0.4286,premium
"Armaf","Image 2023 05 04T112339.859",armaf-image-2023-05-04t112339859,340000,595000,255000,0.4286,premium
"Armaf","Image",armaf-image,340000,595000,255000,0.4286,premium
"Armaf","M6294015189599 White Xl 3 Ezgif.com Webp To Jpg Converter",armaf-m6294015189599-white-xl-3-ezgifcom-webp-to-jpg-converter,300000,495000,195000,0.3939,core
"Armaf","Product 17270 Ezgif.com Webp To Jpg Converter",armaf-product-17270-ezgifcom-webp-to-jpg-converter,340000,595000,255000,0.4286,premium
"Lattafa","Afeef",lattafa-afeef,350000,613000,263000,0.429,premium
"Lattafa","Badee Al Oud Amethyst",lattafa-badee-al-oud-amethyst,250000,413000,163000,0.3947,core
"Lattafa","Badee Al Oud Noble Blush",lattafa-badee-al-oud-noble-blush,250000,413000,163000,0.3947,core
"Lattafa","Badee Al Oud Sublime",lattafa-badee-al-oud-sublime,250000,413000,163000,0.3947,core
"Lattafa","Haya",lattafa-haya,250000,413000,163000,0.3947,core
"Lattafa","Musamam White",lattafa-musamam-white,340000,595000,255000,0.4286,premium
"Lattafa","Yara Candy",lattafa-yara-candy,300000,495000,195000,0.3939,core
"Lattafa","Yara Moi",lattafa-yara-moi,300000,495000,195000,0.3939,core
