brand,brand_slug,raw_name,display_name,product_slug,local_image_key,source
AFNAN,afnan,9AM-Dive-02_fb8cc3ad-f1b0-4032-ae09-6d5a6f52e1bc,9AM Dive,9am-dive,products/afnan/9am-dive/01.jpg,local-assets
AFNAN,afnan,9AM-Product-02_fcbd4807-bb91-44d9-b236-404cec40132d,9AM Product,9am-product,products/afnan/9am-product/01.jpg,local-assets
AFNAN,afnan,9AMDiveside_101f3dd8-6538-43fe-8040-0e9df44b0872,9amdiveside,9amdiveside,products/afnan/9amdiveside/01.jpg,local-assets
AFNAN,afnan,9PM-02_1,9PM 02,9pm-02,products/afnan/9pm-02/01.jpg,local-assets
AFNAN,afnan,9PM-Product-02_d126191d-c5db-4607-b51c-d00be87fba3a,9PM Product,9pm-product,products/afnan/9pm-product/01.jpg,local-assets
AFNAN,afnan,9PMfront_0f7ea5b3-2265-4c9c-b4c4-084c2fec5879,9pmfront,9pmfront,products/afnan/9pmfront/01.jpg,local-assets
AFNAN,afnan,Untitled_design_52,Untitled Design,untitled-design,products/afnan/untitled-design/01.jpg,local-assets
AL HARAMAIN,al-haramain,1149bn,1149bn,1149bn,products/al-haramain/1149bn/01.jpg,local-assets
AL HARAMAIN,al-haramain,1483_combo,1483 Combo,1483-combo,products/al-haramain/1483-combo/01.jpg,local-assets
AL HARAMAIN,al-haramain,ahp1013_amber_oud_gold_edition_100ml_1_,Ahp1013 Amber Oud Gold Edition 100ml 1,ahp1013-amber-oud-gold-edition-100ml-1,products/al-haramain/ahp1013-amber-oud-gold-edition-100ml-1/01.jpg,local-assets
AL HARAMAIN,al-haramain,ahp1015_amber_oud_blue_edition_100ml-02,Ahp1015 Amber Oud Blue Edition 100ml,ahp1015-amber-oud-blue-edition-100ml,products/al-haramain/ahp1015-amber-oud-blue-edition-100ml/01.jpg,local-assets
AL HARAMAIN,al-haramain,ahp1053-laventure-rose1,Ahp1053 Laventure Rose1,ahp1053-laventure-rose1,products/al-haramain/ahp1053-laventure-rose1/01.jpg,local-assets
AL HARAMAIN,al-haramain,ahp1485_with_box,Ahp1485 With Box,ahp1485-with-box,products/al-haramain/ahp1485-with-box/01.jpg,local-assets
