brand,product_name,ml,gender,price_cop,source_raw
"arsenal","arsenal",100,male,150000,""
"AARSENAL100ML - 3.3 OZM $ 150.000","",,,,""
"arabiyat","uhud",100,female,360000,"AARABIYAT - UHUD100ML - 3.3 OZF $ 360.000"
"arabiyat","marwa",100,female,360000,"AARABIYAT - MARWA100ML - 3.3 OZF $ 360.000"
"arabiyat","safa",100,female,360000,"AARABIYAT - SAFA100ML - 3.3 OZF $ 360.000"
"agata-ruiz-de-la-prada","gotas de color",100,unisex,150000,"AAGATA RUIZ DE LA PRADA - GOTAS DE COLOR100ML - 3.3 OZX $ 150.000"
"albane","noble grand palais",100,male,240000,"AALBANE NOBLE GRAND PALAIS100ML - 3.3 OZM $ 240.000"
"al-jazeera","onix",100,male,1200000,"AAL-JAZEERA - ONIX100ML - 3.3 OZM $ 1.200.000"
"afnan","9p",100,male,260000,"AAFNAN - 9PM100ML - 3.4 OZM $ 260.000"
"afnan","9am dive",100,unisex,260000,"AAFNAN - 9AM DIVE100ML - 3.4 OZUNISEX $ 260.000"
"afnan","9am dive",,unisex,300000,"AAFNAN - 9AM DIVESETUNISEX $ 300.000"
"afnan","9 pm pour femme",100,female,260000,"AAFNAN - 9 PM POUR FEMME100ML - 3.3 OZF $ 260.000"
"afnan","9 pm rebel",100,female,280000,"AAFNAN - 9 PM REBEL100ML - 3.3 OZF $ 280.000"
"afnan","kiana crush",100,female,350000,"AAFNAN - KIANA CRUSH100ML - 3.3 OZF $ 350.000"
"afnan","kiana angel",100,female,350000,"AAFNAN - KIANA ANGEL100ML - 3.3 OZF $ 350.000"
"ahli","vega",60,unisex,450000,"AAHLI - VEGA60MLUNISEX $ 450.000"
"ahli","karpos",60,unisex,450000,"AAHLI - KARPOS 60MLUNISEX $ 450.000"
"ahli","corvus",60,female,450000,"AAHLI - CORVUS60MLF $ 450.000"
"ahli","canes",60,unisex,450000,"AAHLI - CANES 60MLUNISEX $ 450.000"
"animale","animale",100,female,210000,""
"AANIMALE - ANIMALE100ML - 3.3 OZF $ 210.000","",,,,""
"animale","animale",200,female,310000,"200ML-6.8OZF $ 310.000"
"armaf","club de nuit precieux extracto de perfume",55,male,350000,"AARMAF - CLUB DE NUIT PRECIEUX EXTRACTO DE PERFUME55MLM $ 350.000"
"armaf","eter",100,unisex,350000,"AARMAF - ETER100ML - 3.4 OZUNISEX $ 350.000"
"armaf","queen of arabian",100,female,370000,"AARMAF - QUEEN  OF ARABIAN100ML - 3.4 OZF $ 370.000"
"armaf","checkmate king",100,male,340000,"AARMAF - CHECKMATE KING100ML - 3.4 OZM $ 340.000"
"armaf","yum yum",100,female,330000,"ARMAF - YUM YUM100ML - 3.4 OZF $ 330.000"
"armaf","island blish",100,female,340000,"AARMAF - ISLAND BLISH100ML - 3.4 OZF $ 340.000"
"armaf","odyssey mandarin sky",100,male,260000,"AARMAF - ODYSSEY MANDARIN SKY100ML - 3.4 OZM $ 260.000"
"armaf","set mandarin sky",,male,380000,"AARMAF - SET MANDARIN SKYSETM $ 380.000"
"armaf","mandarin sky elixir",100,male,310000,"AARMAF - MANDARIN SKY ELIXIR100ML - 3.4 OZM $ 310.000"
"armaf","artisto",100,male,310000,"AARMAF - ARTISTO100ML - 3.4 OZM $ 310.000"
"armaf","odyssey aoud",100,male,270000,"AARMAF - ODYSSEY AOUD100ML - 3.4 OZM $ 270.000"
"armaf","odyssey acquua",100,male,260000,"AARMAF - ODYSSEY ACQUUA100ML - 3.4 OZM $ 260.000"
"armaf","odyssey wild one",100,male,300000,"AARMAF - ODYSSEY WILD ONE100ML - 3.4 OZM $ 300.000"
"armaf","odyssey black edition",100,male,250000,"AARMAF - ODYSSEY BLACK EDITION100ML - 3.4 OZM $ 250.000"
"armaf","odyssey mega",100,male,250000,"AARMAF - ODYSSEY MEGA100ML - 3.4 OZM $ 250.000"
